publisher,nb_games
Big Fish Games,422
8floor,202
SEGA,165
Strategy First,151
Square Enix,141
Choice of Games,140
HH-Games,132
Sekai Project,132
,132
Ubisoft,127
Laush Studio,126
THQ Nordic,125
Alawar Entertainment,107
Fulqrum Publishing,104
Plug In Digital,101
Ziggurat,100
Slitherine Ltd.,99
Sokpop Collective,99
Devolver Digital,98
"KOEI TECMO GAMES CO., LTD.",90
Reforged Group,89
Electronic Arts,88
Komodo,87
PLAYISM,87
SA Industry,87
Microids,84
Piece Of Voxel,81
Hosted Games,79
Kagura Games,79
Boogygames Studios,78
Artifex Mundi,75
tinyBuild,72
Daedalic Entertainment,72
Blender Games,71
BANDAI NAMCO Entertainment,69
Paradox Interactive,69
Tero Lunkka,68
2K,67
My Way Games,66
ESDigital Games,64
Garage Games,62
MAGIX Software GmbH,62
Nacon,60
Forever Entertainment S. A.,60
RewindApp,59
Ripknot Systems,55
United Independent Entertainment,55
Bethesda Softworks,55
Back To Basics Gaming,54
Hede,54
